"dataset","group","categories"
"https://catalog.data.gov/dataset/cms-statistics-reference-booklet","Climate","Human Health"
"https://catalog.data.gov/dataset/usgs-water-quality-data-for-the-nation-national-water-information-system-nwis","Climate","Permafrost and Arctic Landscapes;Arctic;Atmospheric, Earth and Ocean Sciences;Human Health;Ecosystem Vulnerability;Water"
"https://catalog.data.gov/dataset/protected-areas-database-of-the-united-states-pad-us","Climate","Ecosystem Vulnerability;Biodiversity"
"https://catalog.data.gov/dataset/biodiversity-information-serving-our-nation-bison","Climate","Arctic;Permafrost and Arctic Landscapes;Arctic Peoples and Ecosystems;Ecosystem Vulnerability;Biodiversity"
"https://catalog.data.gov/dataset/national-wetlands-inventory-wetlands","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Ecosystem Vulnerability;Biodiversity;Land Cover and Land Use;Water"
"https://catalog.data.gov/dataset/u-s-geological-survey-gap-analysis-program-land-cover-data-v2-2","Climate","Arctic;Arctic Weather and Extreme Events;Arctic Peoples and Ecosystems;Transportation;Physical Data"
"https://catalog.data.gov/dataset/usgs-groundwater-data-for-the-nation-national-water-information-system-nwis","Climate","Permafrost and Arctic Landscapes;Arctic;Atmospheric, Earth and Ocean Sciences;Ecosystem Vulnerability;Water"
"https://catalog.data.gov/dataset/gages-ii-geospatial-attributes-of-gages-for-evaluating-streamflow","Climate","Energy Infrastructure;Water Resources;Ecosystem Vulnerability;Water"
"https://catalog.data.gov/dataset/usgs-water-use-data-for-the-nation-national-water-information-system-nwis","Climate","Permafrost and Arctic Landscapes;Arctic;Atmospheric, Earth and Ocean Sciences;Ecosystem Vulnerability;Water"
"https://catalog.data.gov/dataset/cdc039s-social-vulnerability-index-svi","Climate","Human Health"
"https://catalog.data.gov/dataset/hydrologic-landscape-regions-of-the-united-states","Climate","Water;Water Resources;Ecosystem Vulnerability"
"https://catalog.data.gov/dataset/drainage-basins-used-for-assessing-trends-in-concentration-of-pesticides-in-streams-o-1992-2010","Climate","Human Health"
"https://catalog.data.gov/dataset/germplasm-resources-information-network-grin-58cbd","Climate","Arctic;Permafrost and Arctic Landscapes;Arctic Peoples and Ecosystems;Food Production;Food Resilience"
"https://catalog.data.gov/dataset/avian-habitat-data-seward-peninsula-alaska-2012","Climate","Permafrost and Arctic Landscapes;Arctic Peoples and Ecosystems;Arctic"
"https://catalog.data.gov/dataset/arctic-bathymetry-batharcst","Climate","Energy Infrastructure;Arctic Ocean, Sea Ice and Coasts;Permafrost and Arctic Landscapes;Arctic"
"https://catalog.data.gov/dataset/base-flow-index-grid-for-the-conterminous-united-states","Climate","Water"
"https://catalog.data.gov/dataset/hydro-climatic-data-network-hcdn-a-usgs-streamflow-data-set-for-the-u-s-for-the-study-of-clima","Climate","Atmospheric, Earth and Ocean Sciences;Ecosystem Vulnerability;Water"
"https://catalog.data.gov/dataset/daily-statistically-downscaled-climate-projections-for-the-us-and-southern-canada-east-of-the-r","Climate","Water"
"https://catalog.data.gov/dataset/attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-level-3-ecoreg","Climate","Water"
"https://catalog.data.gov/dataset/sea-ice-index","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts"
"https://catalog.data.gov/dataset/usgs-surface-water-data-for-the-nation-national-water-information-system-nwis","Climate","Permafrost and Arctic Landscapes;Arctic;Energy Infrastructure;Atmospheric, Earth and Ocean Sciences;Ecosystem Vulnerability;Water"
"https://catalog.data.gov/dataset/circum-arctic-resource-appraisal-north-of-the-arctic-circle-assessment-units","Climate","Permafrost and Arctic Landscapes;Arctic Development and Transport;Arctic"
"https://catalog.data.gov/dataset/usgs-national-assessment-of-oil-and-gas-project-shale-gas-assessment-units","Climate","Energy Infrastructure;Energy Resources;Energy Supply"
"https://catalog.data.gov/dataset/attributes-for-nhdplus-catchments-version-1-1-in-the-conterminous-united-states-bedrock-geology","Climate","Water"
"https://catalog.data.gov/dataset/attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-statsgo-soil-c","Climate","Water"
"https://catalog.data.gov/dataset/attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-hydrologic-lan","Climate","Water"
"https://catalog.data.gov/dataset/water-level-change-high-plains-aquifer-2005-to-2009","Climate","Water Resources;Ecosystem Vulnerability"
"https://catalog.data.gov/dataset/attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-populatio-2000","Climate","Water"
"https://catalog.data.gov/dataset/geologic-provinces-of-the-circum-arctic-2008-north-of-the-arctic-circle","Climate","Arctic Development and Transport;Arctic"
"https://catalog.data.gov/dataset/map-service-united-states-oil-and-gas-production-2008","Climate","Energy Infrastructure;Energy Resources;Energy Supply"
"https://catalog.data.gov/dataset/attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-surficial-geol","Climate","Water"
"https://catalog.data.gov/dataset/attributes-for-nhdplus-catchments-version-1-1-for-the-conterminous-united-states-nlcd-2001-impe","Climate","Water"
"https://catalog.data.gov/dataset/cdc039s-social-vulnerability-index-svi-mapping-dashboard","Climate","Human Health"
"https://catalog.data.gov/dataset/garmin-gps-waypoints-delineating-low-altitude-transects-over-the-arctic-network-of-nationa-2013","Climate","Permafrost and Arctic Landscapes;Arctic Peoples and Ecosystems;Arctic"
"https://catalog.data.gov/dataset/arctic-health-research-center-report-no-101-combating-mosquitoes-in-arctic-alaska","Climate","Arctic Weather and Extreme Events;Arctic Development and Transport;Arctic Peoples and Ecosystems;Arctic"
"https://catalog.data.gov/dataset/geologic-provinces-of-the-arctic-2000-prvarcst","Climate","Arctic Development and Transport;Arctic"
