ECHO10 Granule Elements,,,,,,,,,,,,,,,,,,,,,,Spatial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* = GCMD controlled: https://gcmd.nasa.gov/learn/keyword_list.html

These datasets were reviewed in comparison to GCMD Keyword Version: 8.5",,,,,,,,,,,,,,,,,,,,,,,,,Spatial/ Horizontal Spatial Domain (Choice of (a) or (b)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platforms/ Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(a) Spatial/ Horizontal Spatial Domain/ Geometry (Choice of (a), (b), (c), or (d))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platforms/ Platform/ Instruments/ Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Temporal (Choice of (a) or (b)),,,,,,,,,(b) Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle,,,,,,(c) Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon,,,,,,(d) Spatial/ Horizontal Spatial Domain/ Geometry/ Line,,,,(b) Spatial/ Horizontal Spatial Domain/ Orbit,,,,,,,,,,,,,Measured Parameters/ Measured Parameter,,,,,,,,,,,,,,,Platforms/ Platform/ Instruments/ Instrument/ Sensors/ Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice of (a) or (b),,,,,,,,,,,,,,
,,,,,Collection (Choice of (a) or (b)),,,,,Data Granule,,,,,,,PGE Version Class,,, (b) Temporal/ Range Date Time,,Spatial/ Granule Locality,Spatial/ Vertical Spatial Domains/ Vertical Spatial Domain,,,(a) Spatial/ Horizontal Spatial Domain/ Geometry/ Point,,,,,, Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ Center Point/ Point,,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Boundary/ Point,,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Exclusive Zone/ Boundary/ Point,,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Center Point/ Point,,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Point,,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Center Point/ Point,,,,,,,Spatial/ Horizontal Spatial Domain/ Orbit/ Center Point/ Point,,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain,,,,,,,Measured Parameters/ Measured Parameter/ QA Stats,,,,Measured Parameters/ Measured Parameter/ QA Flags,,,,,,,,Platforms/ Platform/ Instruments/ Instrument/ Characteristics/ Characteristic,,,Platforms/ Platform/ Instruments/ Instrument/ Sensors/ Sensor/ Characteristics/ Characteristic,,,Campaigns/ Campaign,Additional Attributes/ Additional Attribute,,,TwoD Coordinate System,,,,,,Online Access URLs/ Online Access URL,,,Online Resources/ Online Resource,,,,,,,,,,(a) Associated Browse Images,(b) Associated Browse Image Urls/ Provider Browse Url,,,,,,,,,,,,,
Collection Name (Concept Id) - Granule UR,Granule UR,Insert Time,Last Update,Delete Time,(a) Collection/ Short Name,(a) Collection/ Version Id,(b) Collection/ Data Set Id,Restriction Flag,Restriction Comment,Data Granule/ Size MB Data Granule,Data Granule/ Reprocessing Planned,Data Granule/ Reprocessing Actual,Data Granule/ Producer Granule Id,Data Granule/ Day Night Flag,Data Granule/ Production Date Time,Data Granule/ Local Version Id,PGE Version Class/ PGE Name,PGE Version Class/ PGE Version, (a) Temporal/ Single Date Time,Temporal/ Range Date Time/ Beginning Date Time,Temporal/ Range Date Time/ Ending Date Time,Spatial/ Granule Locality/ Locality Value,Spatial/ Vertical Spatial Domains/ Vertical Spatial Domain/ Type,Spatial/ Vertical Spatial Domains/ Vertical Spatial Domain/ Value,Spatial/ Horizontal Spatial Domain/ Zone Identifier,Spatial/ Horizontal Spatial Domain/ Geometry/ Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ West Bounding Coordinate,Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ North Bounding Coordinate,Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ East Bounding Coordinate,Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ South Bounding Coordinate, Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ Center Point/ Point/ Point Longitude, Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ Center Point/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Boundary/ Point/ Point Longitude ,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Boundary/ Point/ Point Latitude ,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Exclusive Zone/ Boundary/ Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Exclusive Zone/ Boundary/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Center Point/ Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Center Point/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Center Point/ Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Center Point/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Orbit/ Ascending Crossing,Spatial/ Horizontal Spatial Domain/ Orbit/ Start Lat,Spatial/ Horizontal Spatial Domain/ Orbit/ Start Direction,Spatial/ Horizontal Spatial Domain/ Orbit/ End Lat,Spatial/ Horizontal Spatial Domain/ Orbit/ End Direction,Spatial/ Horizontal Spatial Domain/ Orbit/ Center Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Orbit/ Center Point/ Point Latitude,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Orbital Model Name,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Orbit Number,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Start Orbit Number,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Stop Orbit Number,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Equator Crossing Longitude,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Equator Crossing Date Time,Measured Parameters/ Measured Parameter/ Parameter Name,Measured Parameters/ Measured Parameter/ QA Stats/ QA Percent Missing Data,Measured Parameters/ Measured Parameter/ QA Stats/ QA Percent Out of Bounds Data,Measured Parameters/ Measured Parameter/ QA Stats/ QA Percent Interpolated Data,Measured Parameters/ Measured Parameter/ QA Stats/ QA Percent Cloud Cover,Measured Parameters/ Measured Parameter/ QA Flags/ Automatic Quality Flag,Measured Parameters/ Measured Parameter/ QA Flags/ Automatic Quality Flag Explanation,Measured Parameters/ Measured Parameter/ QA Flags/ Operational Quality Flag,Measured Parameters/ Measured Parameter/ QA Flags/ Operational Quality Flag Explanation,Measured Parameters/ Measured Parameter/ QA Flags/ Science Quality Flag,Measured Parameters/ Measured Parameter/ QA Flags/ Science Quality Flag Explanation,Platforms/ Platform/ Short Name *,Platforms/ Platform/ Instruments/ Instrument/ Short Name *,Platforms/ Platform/ Instruments/ Instrument/ Characteristics/ Characteristic/ Name,Platforms/ Platform/ Instruments/ Instrument/ Characteristics/ Characteristic/ Value,Platforms/ Platform/ Instruments/ Instrument/ Sensors/ Sensor/ Short Name,Platforms/ Platform/ Instruments/ Instrument/ Sensors/ Sensor/ Characteristics/ Characteristic/ Name,Platforms/ Platform/ Instruments/ Instrument/ Sensors/ Sensor/ Characteristics/ Characteristic/ Value,Platforms/ Platform/ Instruments/ Instrument/ Operation Modes/ Operation Mode,Campaigns/ Campaign/ Short Name *,Additional Attributes/ Additional Attribute/ Name,Additional Attributes/ Additional Attribute/ Values/ Value,Input Granules/ Input Granule,TwoD Coordinate System/ Start Coordinate 1,TwoD Coordinate System/ End Coordinate 1,TwoD Coordinate System/ Start Coordinate 2,TwoD Coordinate System/ End Coordinate 2,TwoD Coordinate System/ TwoD Coordinate System Name,Price,Online Access URLs/ Online Access URL/ URL,Online Access URLs/ Online Access URL/ URL Description,Online Access URLs/ Online Access URL/ Mime Type,Online Resources/ Online Resource/ URL,Online Resources/ Online Resource/ Description,Online Resources/ Online Resource/ Type,Online Resources/ Online Resource/ Mime Type,Orderable,Data Format,Visible,Cloud Cover,Metadata Standard Name,Metadata Standard Version,Assocaited Browse Images/ Provider Browse Id,Associated Browse Image Urls/ Provider Browse Url/ URL,Associated Browse Image Urls/ Provider Browse Url/ File Size,Associated Browse Image Urls/ Provider Browse Url/ Description,Associated Browse Image Urls/ Provider Browse Url/ Mime Type,Checked by:,Comments:,# Red fields (absolute errors):,# Yellow fields (recommended fixes),# Blue fields (observations/ may or may not need to be fixed),"# np fields (not in the metadata, and not marked by any color)",# fields checked (103 - #np fields),% red fields,% yellow fields,% blue fields
AIRS/Aqua L2G Precipitation Estimate (AIRS+AMSU) V006 (AIRG2SSD) at GES DISC (G1245891683-GES_DISC) - AIRG2SSD.006:AIRS.2002.09.09.L2G.Precip_Est.v1.0.3.0.G13208072839.hdf,OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,OK,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,Recommend listing key geophysical science variables as measured parameters.,np,np,np,np,np,np,np,np,np,np,"Recommend listing ""AQUA"" as the platform short name.","Recommend listing ""AIRS"" as the instrument short name.",np,np,np,np,np,np,"Recommend listing ""AQUA"" as the campaign short name.",np,np,np,np,np,np,np,np,np,OK,"Recommend including a description for each online access URL, such as:

- Access the granule via HTTP",np,"1. Recommend providing the OPeNDAP access URL for this granule:

https://airsl2.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level2/AIRG2SSD.006/2002/252/AIRS.2002.09.09.L2G.Precip_Est.v1.0.3.0.G13208072839.hdf.html

2. Recommend adding a link to the data set landing page via DOI URL:

http://dx.doi.org/10.5067/AQUA/AIRS/DATA210","Recommend including a description for each online resource URL, such as:

1.  ""Access the granule via the OPeNDAP protocol.""

2. ""DOI link to the data set landing page""","1. The OPeNDAP link should have ""OPENDAP DATA"" as the URL type.

2. Recommend listing ""DATA SET LANDING PAGE"" as the URL type for the DOI URL.","*According to UMM-Common documentation, mime types are currently only required for links that are labeled ""Get Service."" This requirement may change. 

If an OPeNDAP link is added to the granule level metadata, provide a mime type. A list of mime types can be found in UMM-Common documentation.",OK,"Please list the data format of this granule:

HDF-EOS4",np,np,np,np,np,np,np,np,np,"Adam Sisco; 5/9/2017, 11:24 AM

Betzy Hernandez: 05/10/2017, 2:16 PM",,1,1,1,76,25,4,4,4
AIRS/Aqua L2 Cloud-Cleared Infrared Radiances (AIRS+AMSU+HSB) V006 (AIRH2CCF) at GES DISC (G1246068197-GES_DISC) - AIRH2CCF.006:AIRS.2002.08.31.012.L2.CC_H.v6.0.12.0.G14101125633.hdf,OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,OK,OK,OK,np,np,OK,np,OK,OK,np,OK,OK,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,The geophysical variables contained in the data should be listed as measured parameters. Recommend listing the measured parameters as they appear in the HDF file header information.,np,np,np,np,np,np,np,np,np,np,"Recommend listing ""AQUA"" as the platform short name.","Recommend listing ""AIRS"" as the instrument short name.",np,np,np,np,np,np,"Recommend listing ""AQUA"" as the campaign short name.",np,np,np,np,np,np,np,np,np,OK,"Recommend including a description for each online access URL, such as:

- Access the granule via HTTP",np,"1. Recommend providing the OPeNDAP access URL for this granule:

https://airsl2.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level2/AIRH2CCF.006/2002/243/AIRS.2002.08.31.012.L2.CC_H.v6.0.12.0.G14101125633.hdf.html""

2. Recommend adding a link to the data set landing page via DOI URL:

http://dx.doi.org/10.5067/AQUA/AIRS/DATA206","Recommend including a description for each online resource URL, such as:

1.  ""Access the granule via the OPeNDAP protocol.""

2. ""DOI link to the data set landing page""","1. The OPeNDAP link should have ""OPENDAP DATA"" as the URL type.

2. Recommend listing ""DATA SET LANDING PAGE"" as the URL type for the DOI URL.","*According to UMM-Common documentation, mime types are currently only required for links that are labeled ""Get Service."" This requirement may change. 

If an OPeNDAP link is added to the granule level metadata, provide a mime type. A list of mime types can be found in UMM-Common documentation.",OK,"Please list the data format of this granule:

HDF-EOS4",np,np,np,OK,OK,OK,OK,np,np,"Adam Sisco; 5/9/2017, 3:23 PM

Betzy Hernandez: 05/10/2017, 2:53 PM",,1,1,1,69,32,3.125,3.125,3.125
AIRS/Aqua L2 Standard Physical Retrieval (AIRS+AMSU+HSB) V006 (G1246143267-GES_DISC) at GES DISC (AIRH2RET) - AIRH2RET.006:AIRS.2002.08.30.236.L2.RetStd_H.v6.0.12.0.G14101125649.hdf,OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,OK,OK,OK,np,np,OK,np,OK,OK,np,OK,OK,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,The geophysical variables contained in the data should be listed as measured parameters. Recommend listing the measured parameters as they appear in the HDF file header information.,np,np,np,np,np,np,np,np,np,np,"Recommend listing ""AQUA"" as the platform short name.","Recommend listing ""AIRS"" as the instrument short name.",np,np,np,np,np,np,"Recommend listing ""AQUA"" as the campaign short name.",np,np,np,np,np,np,np,np,np,OK,"Recommend including a description for each online access URL, such as:

- Access the granule via HTTP",np,"1. Recommend providing the OPeNDAP access URL for this granule:

https://airsl2.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level2/AIRH2RET.006/2002/242/AIRS.2002.08.30.236.L2.RetStd_H.v6.0.12.0.G14101125649.hdf.html""

2. Recommend adding a link to the data set landing page via DOI URL:

http://dx.doi.org/10.5067/AQUA/AIRS/DATA203","Recommend including a description for each online resource URL, such as:

1.  ""Access the granule via the OPeNDAP protocol.""

2. ""DOI link to the data set landing page""","1. The OPeNDAP link should have ""OPENDAP DATA"" as the URL type.

2. Recommend listing ""DATA SET LANDING PAGE"" as the URL type for the DOI URL.","*According to UMM-Common documentation, mime types are currently only required for links that are labeled ""Get Service."" This requirement may change. 

If an OPeNDAP link is added to the granule level metadata, provide a mime type. A list of mime types can be found in UMM-Common documentation.",OK,"Please list the data format of this granule:

HDF-EOS4",np,np,np,OK,OK,OK,OK,np,np,"Patrick Staton, 5/10/2017, 8:15 AM

Betzy Hernandez: 05/10/2017, 3:10 PM",,1,1,1,69,32,3.125,3.125,3.125
AIRS/Aqua L2 Support Retrieval (AIRS+AMSU+HSB) V006 (AIRH2SUP) at GES DISC (G1246241972-GES_DISC) - AIRH2SUP.006:AIRS.2002.08.30.235.L2.RetSup_H.v6.0.12.0.G14101125514.hdf,OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,OK,OK,OK,np,np,OK,np,OK,OK,np,OK,OK,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,The geophysical variables contained in the data should be listed as measured parameters. Recommend listing the measured parameters as they appear in the HDF file header information.,np,np,np,np,np,np,np,np,np,np,"Recommend listing ""AQUA"" as the platform short name.","Recommend listing ""AIRS"" as the instrument short name.",np,np,np,np,np,np,"Recommend listing ""AQUA"" as the campaign short name.",np,np,np,np,np,np,np,np,np,OK,"Recommend including a description for each online access URL, such as:

- Access the granule via HTTP",np,"1. Recommend providing the OPeNDAP access URL for this granule:

https://airsl2.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level2/AIRH2SUP.006/2002/242/AIRS.2002.08.30.235.L2.RetSup_H.v6.0.12.0.G14101125514.hdf.html""

2. Recommend adding a link to the data set landing page via DOI URL:

http://dx.doi.org/10.5067/AQUA/AIRS/DATA209","Recommend including a description for each online resource URL, such as:

1.  ""Access the granule via the OPeNDAP protocol.""

2. ""DOI link to the data set landing page""","1. The OPeNDAP link should have ""OPENDAP DATA"" as the URL type.

2. Recommend listing ""DATA SET LANDING PAGE"" as the URL type for the DOI URL.","*According to UMM-Common documentation, mime types are currently only required for links that are labeled ""Get Service."" This requirement may change. 

If an OPeNDAP link is added to the granule level metadata, provide a mime type. A list of mime types can be found in UMM-Common documentation.",OK,"Please list the data format of this granule:

HDF-EOS4",np,np,np,OK,OK,OK,OK,np,np,"Patrick Staton, 5/10/2017, 8:22 AM

Betzy Hernandez: 05/10/2017, 3:33 PM",,1,1,1,69,32,3.125,3.125,3.125
