ECHO10 Granule Elements,,,,,,,,,,,,,,,,,,,,,,Spatial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* = GCMD controlled: https://gcmd.nasa.gov/learn/keyword_list.html

These datasets were reviewed in comparison to GCMD Keyword Version: 8.5",,,,,,,,,,,,,,,,,,,,,,,,,Spatial/ Horizontal Spatial Domain (Choice of (a) or (b)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platforms/ Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(a) Spatial/ Horizontal Spatial Domain/ Geometry (Choice of (a), (b), (c), or (d))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platforms/ Platform/ Instruments/ Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Temporal (Choice of (a) or (b)),,,,,,,,,(b) Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle,,,,,,(c) Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon,,,,,,(d) Spatial/ Horizontal Spatial Domain/ Geometry/ Line,,,,(b) Spatial/ Horizontal Spatial Domain/ Orbit,,,,,,,,,,,,,Measured Parameters/ Measured Parameter,,,,,,,,,,,,,,,Platforms/ Platform/ Instruments/ Instrument/ Sensors/ Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice of (a) or (b),,,,,,,,,,,,,,
,,,,,Collection (Choice of (a) or (b)),,,,,Data Granule,,,,,,,PGE Version Class,,, (b) Temporal/ Range Date Time,,Spatial/ Granule Locality,Spatial/ Vertical Spatial Domains/ Vertical Spatial Domain,,,(a) Spatial/ Horizontal Spatial Domain/ Geometry/ Point,,,,,, Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ Center Point/ Point,,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Boundary/ Point,,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Exclusive Zone/ Boundary/ Point,,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Center Point/ Point,,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Point,,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Center Point/ Point,,,,,,,Spatial/ Horizontal Spatial Domain/ Orbit/ Center Point/ Point,,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain,,,,,,,Measured Parameters/ Measured Parameter/ QA Stats,,,,Measured Parameters/ Measured Parameter/ QA Flags,,,,,,,,Platforms/ Platform/ Instruments/ Instrument/ Characteristics/ Characteristic,,,Platforms/ Platform/ Instruments/ Instrument/ Sensors/ Sensor/ Characteristics/ Characteristic,,,Campaigns/ Campaign,Additional Attributes/ Additional Attribute,,,TwoD Coordinate System,,,,,,Online Access URLs/ Online Access URL,,,Online Resources/ Online Resource,,,,,,,,,,(a) Associated Browse Images,(b) Associated Browse Image Urls/ Provider Browse Url,,,,,,,,,,,,,
Collection Name (Concept Id) - Granule UR,Granule UR,Insert Time,Last Update,Delete Time,(a) Collection/ Short Name,(a) Collection/ Version Id,(b) Collection/ Data Set Id,Restriction Flag,Restriction Comment,Data Granule/ Size MB Data Granule,Data Granule/ Reprocessing Planned,Data Granule/ Reprocessing Actual,Data Granule/ Producer Granule Id,Data Granule/ Day Night Flag,Data Granule/ Production Date Time,Data Granule/ Local Version Id,PGE Version Class/ PGE Name,PGE Version Class/ PGE Version, (a) Temporal/ Single Date Time,Temporal/ Range Date Time/ Beginning Date Time,Temporal/ Range Date Time/ Ending Date Time,Spatial/ Granule Locality/ Locality Value,Spatial/ Vertical Spatial Domains/ Vertical Spatial Domain/ Type,Spatial/ Vertical Spatial Domains/ Vertical Spatial Domain/ Value,Spatial/ Horizontal Spatial Domain/ Zone Identifier,Spatial/ Horizontal Spatial Domain/ Geometry/ Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ West Bounding Coordinate,Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ North Bounding Coordinate,Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ East Bounding Coordinate,Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ South Bounding Coordinate, Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ Center Point/ Point/ Point Longitude, Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ Center Point/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Boundary/ Point/ Point Longitude ,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Boundary/ Point/ Point Latitude ,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Exclusive Zone/ Boundary/ Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Exclusive Zone/ Boundary/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Center Point/ Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Center Point/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Center Point/ Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Center Point/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Orbit/ Ascending Crossing,Spatial/ Horizontal Spatial Domain/ Orbit/ Start Lat,Spatial/ Horizontal Spatial Domain/ Orbit/ Start Direction,Spatial/ Horizontal Spatial Domain/ Orbit/ End Lat,Spatial/ Horizontal Spatial Domain/ Orbit/ End Direction,Spatial/ Horizontal Spatial Domain/ Orbit/ Center Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Orbit/ Center Point/ Point Latitude,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Orbital Model Name,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Orbit Number,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Start Orbit Number,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Stop Orbit Number,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Equator Crossing Longitude,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Equator Crossing Date Time,Measured Parameters/ Measured Parameter/ Parameter Name,Measured Parameters/ Measured Parameter/ QA Stats/ QA Percent Missing Data,Measured Parameters/ Measured Parameter/ QA Stats/ QA Percent Out of Bounds Data,Measured Parameters/ Measured Parameter/ QA Stats/ QA Percent Interpolated Data,Measured Parameters/ Measured Parameter/ QA Stats/ QA Percent Cloud Cover,Measured Parameters/ Measured Parameter/ QA Flags/ Automatic Quality Flag,Measured Parameters/ Measured Parameter/ QA Flags/ Automatic Quality Flag Explanation,Measured Parameters/ Measured Parameter/ QA Flags/ Operational Quality Flag,Measured Parameters/ Measured Parameter/ QA Flags/ Operational Quality Flag Explanation,Measured Parameters/ Measured Parameter/ QA Flags/ Science Quality Flag,Measured Parameters/ Measured Parameter/ QA Flags/ Science Quality Flag Explanation,Platforms/ Platform/ Short Name *,Platforms/ Platform/ Instruments/ Instrument/ Short Name *,Platforms/ Platform/ Instruments/ Instrument/ Characteristics/ Characteristic/ Name,Platforms/ Platform/ Instruments/ Instrument/ Characteristics/ Characteristic/ Value,Platforms/ Platform/ Instruments/ Instrument/ Sensors/ Sensor/ Short Name,Platforms/ Platform/ Instruments/ Instrument/ Sensors/ Sensor/ Characteristics/ Characteristic/ Name,Platforms/ Platform/ Instruments/ Instrument/ Sensors/ Sensor/ Characteristics/ Characteristic/ Value,Platforms/ Platform/ Instruments/ Instrument/ Operation Modes/ Operation Mode,Campaigns/ Campaign/ Short Name *,Additional Attributes/ Additional Attribute/ Name,Additional Attributes/ Additional Attribute/ Values/ Value,Input Granules/ Input Granule,TwoD Coordinate System/ Start Coordinate 1,TwoD Coordinate System/ End Coordinate 1,TwoD Coordinate System/ Start Coordinate 2,TwoD Coordinate System/ End Coordinate 2,TwoD Coordinate System/ TwoD Coordinate System Name,Price,Online Access URLs/ Online Access URL/ URL,Online Access URLs/ Online Access URL/ URL Description,Online Access URLs/ Online Access URL/ Mime Type,Online Resources/ Online Resource/ URL,Online Resources/ Online Resource/ Description,Online Resources/ Online Resource/ Type,Online Resources/ Online Resource/ Mime Type,Orderable,Data Format,Visible,Cloud Cover,Metadata Standard Name,Metadata Standard Version,Assocaited Browse Images/ Provider Browse Id,Associated Browse Image Urls/ Provider Browse Url/ URL,Associated Browse Image Urls/ Provider Browse Url/ File Size,Associated Browse Image Urls/ Provider Browse Url/ Description,Associated Browse Image Urls/ Provider Browse Url/ Mime Type,Checked by:,Comments:,# Red fields (absolute errors):,# Yellow fields (recommended fixes),# Blue fields (observations/ may or may not need to be fixed),"# np fields (not in the metadata, and not marked by any color)",# fields checked (103 - #np fields),% red fields,% yellow fields,% blue fields
"ISLSCP II MODIS (Collection 4) IGBP Land Cover, 2000-2001 (G179024881-ORNL_DAAC) - ISLSCP_II_MODISLC.modis_landcover_qdeg.zip",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,"Same parameters as science keywords at collection level. 

1. Change from ""LAND COVER"" to ""LAND USE/LAND COVER CLASSIFICATION"" to match the updated science keyword at the collection level.

2. Recommend removing all other measured parameters (besides ""LAND USE/LAND COVER CLASSIFICATION"") since land cover is the only parameter directly provided in the data.  ",np,np,np,np,np,np,np,np,np,np,"1. Recommend removing the NOAA-14 platform and associated instruments since these data were generated solely from TERRA/MODIS.

2. Change the platform short name to 'TERRA' to conform with the GCMD keyword list (Only list the short name, not the short name and long name together)

3. Recommend removing the 'FIELD INVESTIGATION' platform and associated instruments since these data were generated solely from TERRA/MODIS.","1. Remove""AVHRR"" since these data were generated solely from TERRA/MODIS.

2. Change from ""MODIS (MODERATE-RESOLUTION IMAGING SPECTRORADIOMETER)"" to ""MODIS""

3. Remove""LEAF AREA METER"" and ""STEEL MEASURING TAPE"" since these data were generated solely from TERRA/MODIS.",np,np,Same as instrument. Consider removing since this is redundant information.,np,np,np,"""ISLSCP II"" is not currently listed as a GCMD project keyword. Please request to have this keyword added to the GCMD directory. ",np,np,np,np,np,np,np,np,OK,OK,"The collection level abstract is currently listed as the URL description. Recommend removing the abstract, and replacing with a description which indicates to the user that the link provides direct download access of the granule. ",np,"1. Add a link to an appropriate dataset landing page. This should be done via the DOI link, if applicable.   

2. Recommend including a link to the ORNL DAAC OGC WMS/WCS service for this granule.

3. Recommend including the THREDDS link to this granule. 

4. Consider including links to companion files 
-(https://daac.ornl.gov/daacdata/islscp_ii/vegetation/modis_landcover_xdeg//comp/0_modis_landcover_readme.txt)
-(https://daac.ornl.gov/daacdata/islscp_ii/vegetation/modis_landcover_xdeg//comp/1_modis_landcover_doc.pdf)",Recommend providing a URL description for each Online Resource URL. ,"1. If a DOI link is added, the online resource type must include ""DOI"" in its value.

2. If a link to the WMS/WCS service is added, recommend listing ""MAP SERVICE"" as the associated type.

3. If a THREDDS link is added, recommend listing ""THREDDS DATA"" as the URL type. 

4. If a link to a companion file is added, be sure to add a valid URL type.",np,OK,"Recommend changing from ""txt"" to ""ESRI ASCII GRID""
Ensure that the data format provided at the granule level matches the data format provided at the collection level. ",np,np,np,np,np,np,np,np,np,"Kaitlyn Pate; 12/13/2016, 2:43 PM
Jeanne le Roux; 1/9/2017  3:32 PM",,1,1,1,76,25,4,4,4
"LBA-ECO LC-24 Forest Cover Map from MODIS, 500-m, South America: 2001 (G179019455-ORNL_DAAC) - LC24_MODIS_FOREST_COVER_500M.sa_forest2001",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,"Please change from ""TERRA (MORNING EQUATORIAL CROSSING TIME SATELLITE)"" to just ""TERRA""","Please change from ""MODIS (MODERATE-RESOLUTION IMAGING SPECTRORADIOMETER)"" to just ""MODIS""",np,np,Same as instrument. Consider removing since this is redundant information.,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,"The collection level abstract is currently listed as the URL description. Recommend removing the abstract, and replacing with a description which indicates to the user that the link provides direct download access of the granule. ",np,"1. Add a link to an appropriate dataset landing page. This should be done via the DOI link, if applicable.   

2. Recommend including a link to the ORNL DAAC OGC WMS/WCS service for this granule.

3. Consider including a link to the companion file
(https://daac.ornl.gov/daacdata/lba/land_use_land_cover_change/LC24_MODIS_Forest_Cover_1km//comp/LC24_MODIS_Forest_Cover_1km.pdf)",Recommend providing a URL description for each Online Resource URL. ,"1. If a DOI link is added, the online resource type must include ""DOI"" in its value.

2. If a link to the WMS/WCS service is added, recommend listing ""MAP SERVICE"" as the associated type.

3. If a link to a companion file is added, be sure to add a valid URL type.",np,OK,"""txt""

Recommend also listing ""GeoTIFF"" as a data format since the data visualization is provided as a GeoTIFF image. The abstract also refers to the data as being in GeoTIFF.   ",np,np,np,np,np,np,np,np,np,"Kaitlyn Pate; 1/4/2017, 11:01 AM
Jeanne le Roux; 1/9/2017  3:45 PM",,1,1,1,76,25,4,4,4
LBA-ECO LC-39 MODIS Active Fire and Frequency Data for South America: 2000-2007 (G179125848-ORNL_DAAC) - LC39_MODIS_FIRE_SA.sa_2001_2002_terra_subset.zip,OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,"Currently ""-53.308""
It appears that the south and east bounding coordinate have been switched.

Please change the east bounding coordinate to ""-34.828""  ","Currently ""-34.86""
It appears that the south and east bounding coordinate have been switched.

Please change the south bounding coordinate to ""-53.809""  ",np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,"1. Please change from ""TERRA (MORNING EQUATORIAL CROSSING TIME SATELLITE)"" to just ""TERRA""

2. ""AQUA"" is currently listed as a platform for this granule, however ""AQUA"" was only part of the campaign from 2003-2007 (according to the URL description), and this specific granule only covers data from 2001-2002. Therefore, AQUA should not be listed as a platform for this granule.","Please change from ""MODIS (MODERATE-RESOLUTION IMAGING SPECTRORADIOMETER)"" to just ""MODIS""",np,np,Same as instrument. Consider removing since this is redundant information.,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,"The collection level abstract is currently listed as the URL description. Recommend removing the abstract, and replacing with a description which indicates to the user that the link provides direct download access of the granule. ",np,"1. Add a link to an appropriate dataset landing page. This should be done via the DOI link, if applicable.   

2. Recommend including a link to the ORNL DAAC OGC WMS/WCS service for this granule.

3.  Consider including a link to the companion file
(https://daac.ornl.gov/daacdata/lba/land_use_land_cover_change/LC39_MODIS_Fire_SA//comp/LC39_MODIS_Fire_SA.pdf)",Recommend providing a URL description for each Online Resource URL. ,"1. If a DOI link is added, the online resource type must include ""DOI"" in its value.

2. If a link to the WMS/WCS service is added, recommend listing ""MAP SERVICE"" as the associated type.

3. If a link to a companion file is added, be sure to add a valid URL type.",np,OK,"""txt""

Recommend changing the data format to ""Shapefile"" or ""Point Shapefile"" for this particular granule, since data consists of a shapefile containing multiple point locations.  ",np,np,np,np,np,np,np,np,np,"Kaitlyn Pate; 1/4/2017, 12:14 PM

Jeanne le Roux; 1/9/2017  4:06 PM",,1,1,1,76,25,4,4,4
"LBA-ECO LC-15 Vegetation Cover Types from MODIS, 1-km, Amazon Basin: 2000-2001 (G179057372-ORNL_DAAC) - LC15_MODIS_TREECOVER.tree_geotiff.zip",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,"Change from ""LAND COVER"" to ""LAND USE/LAND COVER CLASSIFICATION"" to match the updated science keyword at the collection level.",np,np,np,np,np,np,np,np,np,np,"Please change from ""TERRA (MORNING EQUATORIAL CROSSING TIME SATELLITE)"" to just ""TERRA""","Please change from ""MODIS (MODERATE-RESOLUTION IMAGING SPECTRORADIOMETER)"" to just ""MODIS""",np,np,Same as instrument. Consider removing since this is redundant information.,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,"The collection level abstract is currently listed as the URL description. Recommend removing the abstract, and replacing with a description which indicates to the user that the link provides direct download access of the granule. ",np,"1. Add a link to an appropriate dataset landing page. This should be done via the DOI link, if applicable.   

2. Recommend including a link to the ORNL DAAC OGC WMS/WCS service for this granule.

3. Consider including a link to the companion file
(https://daac.ornl.gov/daacdata/lba/land_use_land_cover_change/LC15_MODIS_TreeCover//comp/LC15_MODIS_TreeCover.pdf)",Recommend providing a URL description for each Online Resource URL. ,"1. If a DOI link is added, the online resource type must include ""DOI"" in its value.

2. If a link to the WMS/WCS service is added, recommend listing ""MAP SERVICE"" as the associated type.

3. If a link to a companion file is added, be sure to add a valid URL type.",np,OK,"Recommend this be changed from ""txt"" to ""GeoTIFF"" 
The data consists of a GeoTIFF file which stores raster graphics.",np,np,np,np,np,np,np,np,np,"Kaitlyn Pate; 1/4/2017, 2:50 PM

Adam Sisco; 1/12/2017, 11:03 AM",,1,1,1,76,25,4,4,4
