ECHO10 Granule Elements,,,,,,,,,,,,,,,,,,,,,,Spatial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* = GCMD controlled: https://gcmd.nasa.gov/learn/keyword_list.html

These datasets were reviewed in comparison to GCMD Keyword Version: 8.5",,,,,,,,,,,,,,,,,,,,,,,,,Spatial/ Horizontal Spatial Domain (Choice of (a) or (b)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platforms/ Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(a) Spatial/ Horizontal Spatial Domain/ Geometry (Choice of (a), (b), (c), or (d))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platforms/ Platform/ Instruments/ Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Temporal (Choice of (a) or (b)),,,,,,,,,(b) Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle,,,,,,(c) Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon,,,,,,(d) Spatial/ Horizontal Spatial Domain/ Geometry/ Line,,,,(b) Spatial/ Horizontal Spatial Domain/ Orbit,,,,,,,,,,,,,Measured Parameters/ Measured Parameter,,,,,,,,,,,,,,,Platforms/ Platform/ Instruments/ Instrument/ Sensors/ Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice of (a) or (b),,,,,,,,,,,,,,
,,,,,Collection (Choice of (a) or (b)),,,,,Data Granule,,,,,,,PGE Version Class,,, (b) Temporal/ Range Date Time,,Spatial/ Granule Locality,Spatial/ Vertical Spatial Domains/ Vertical Spatial Domain,,,(a) Spatial/ Horizontal Spatial Domain/ Geometry/ Point,,,,,, Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ Center Point/ Point,,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Boundary/ Point,,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Exclusive Zone/ Boundary/ Point,,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Center Point/ Point,,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Point,,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Center Point/ Point,,,,,,,Spatial/ Horizontal Spatial Domain/ Orbit/ Center Point/ Point,,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain,,,,,,,Measured Parameters/ Measured Parameter/ QA Stats,,,,Measured Parameters/ Measured Parameter/ QA Flags,,,,,,,,Platforms/ Platform/ Instruments/ Instrument/ Characteristics/ Characteristic,,,Platforms/ Platform/ Instruments/ Instrument/ Sensors/ Sensor/ Characteristics/ Characteristic,,,Campaigns/ Campaign,Additional Attributes/ Additional Attribute,,,TwoD Coordinate System,,,,,,Online Access URLs/ Online Access URL,,,Online Resources/ Online Resource,,,,,,,,,,(a) Associated Browse Images,(b) Associated Browse Image Urls/ Provider Browse Url,,,,,,,,,,,,,
Collection Name (Concept Id) - Granule UR,Granule UR,Insert Time,Last Update,Delete Time,(a) Collection/ Short Name,(a) Collection/ Version Id,(b) Collection/ Data Set Id,Restriction Flag,Restriction Comment,Data Granule/ Size MB Data Granule,Data Granule/ Reprocessing Planned,Data Granule/ Reprocessing Actual,Data Granule/ Producer Granule Id,Data Granule/ Day Night Flag,Data Granule/ Production Date Time,Data Granule/ Local Version Id,PGE Version Class/ PGE Name,PGE Version Class/ PGE Version, (a) Temporal/ Single Date Time,Temporal/ Range Date Time/ Beginning Date Time,Temporal/ Range Date Time/ Ending Date Time,Spatial/ Granule Locality/ Locality Value,Spatial/ Vertical Spatial Domains/ Vertical Spatial Domain/ Type,Spatial/ Vertical Spatial Domains/ Vertical Spatial Domain/ Value,Spatial/ Horizontal Spatial Domain/ Zone Identifier,Spatial/ Horizontal Spatial Domain/ Geometry/ Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ West Bounding Coordinate,Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ North Bounding Coordinate,Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ East Bounding Coordinate,Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ South Bounding Coordinate, Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ Center Point/ Point/ Point Longitude, Spatial/ Horizontal Spatial Domain/ Geometry/ Bounding Rectangle/ Center Point/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Boundary/ Point/ Point Longitude ,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Boundary/ Point/ Point Latitude ,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Exclusive Zone/ Boundary/ Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Exclusive Zone/ Boundary/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Center Point/ Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Geometry/ GPolygon/ Center Point/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Center Point/ Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Geometry/ Line/ Center Point/ Point/ Point Latitude,Spatial/ Horizontal Spatial Domain/ Orbit/ Ascending Crossing,Spatial/ Horizontal Spatial Domain/ Orbit/ Start Lat,Spatial/ Horizontal Spatial Domain/ Orbit/ Start Direction,Spatial/ Horizontal Spatial Domain/ Orbit/ End Lat,Spatial/ Horizontal Spatial Domain/ Orbit/ End Direction,Spatial/ Horizontal Spatial Domain/ Orbit/ Center Point/ Point Longitude,Spatial/ Horizontal Spatial Domain/ Orbit/ Center Point/ Point Latitude,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Orbital Model Name,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Orbit Number,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Start Orbit Number,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Stop Orbit Number,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Equator Crossing Longitude,Orbit Calculated Spatial Domains/ Orbit Calculated Spatial Domain/ Equator Crossing Date Time,Measured Parameters/ Measured Parameter/ Parameter Name,Measured Parameters/ Measured Parameter/ QA Stats/ QA Percent Missing Data,Measured Parameters/ Measured Parameter/ QA Stats/ QA Percent Out of Bounds Data,Measured Parameters/ Measured Parameter/ QA Stats/ QA Percent Interpolated Data,Measured Parameters/ Measured Parameter/ QA Stats/ QA Percent Cloud Cover,Measured Parameters/ Measured Parameter/ QA Flags/ Automatic Quality Flag,Measured Parameters/ Measured Parameter/ QA Flags/ Automatic Quality Flag Explanation,Measured Parameters/ Measured Parameter/ QA Flags/ Operational Quality Flag,Measured Parameters/ Measured Parameter/ QA Flags/ Operational Quality Flag Explanation,Measured Parameters/ Measured Parameter/ QA Flags/ Science Quality Flag,Measured Parameters/ Measured Parameter/ QA Flags/ Science Quality Flag Explanation,Platforms/ Platform/ Short Name *,Platforms/ Platform/ Instruments/ Instrument/ Short Name *,Platforms/ Platform/ Instruments/ Instrument/ Characteristics/ Characteristic/ Name,Platforms/ Platform/ Instruments/ Instrument/ Characteristics/ Characteristic/ Value,Platforms/ Platform/ Instruments/ Instrument/ Sensors/ Sensor/ Short Name,Platforms/ Platform/ Instruments/ Instrument/ Sensors/ Sensor/ Characteristics/ Characteristic/ Name,Platforms/ Platform/ Instruments/ Instrument/ Sensors/ Sensor/ Characteristics/ Characteristic/ Value,Platforms/ Platform/ Instruments/ Instrument/ Operation Modes/ Operation Mode,Campaigns/ Campaign/ Short Name *,Additional Attributes/ Additional Attribute/ Name,Additional Attributes/ Additional Attribute/ Values/ Value,Input Granules/ Input Granule,TwoD Coordinate System/ Start Coordinate 1,TwoD Coordinate System/ End Coordinate 1,TwoD Coordinate System/ Start Coordinate 2,TwoD Coordinate System/ End Coordinate 2,TwoD Coordinate System/ TwoD Coordinate System Name,Price,Online Access URLs/ Online Access URL/ URL,Online Access URLs/ Online Access URL/ URL Description,Online Access URLs/ Online Access URL/ Mime Type,Online Resources/ Online Resource/ URL,Online Resources/ Online Resource/ Description,Online Resources/ Online Resource/ Type,Online Resources/ Online Resource/ Mime Type,Orderable,Data Format,Visible,Cloud Cover,Metadata Standard Name,Metadata Standard Version,Assocaited Browse Images/ Provider Browse Id,Associated Browse Image Urls/ Provider Browse Url/ URL,Associated Browse Image Urls/ Provider Browse Url/ File Size,Associated Browse Image Urls/ Provider Browse Url/ Description,Associated Browse Image Urls/ Provider Browse Url/ Mime Type,Checked by:,Comments:,# Red fields (absolute errors):,# Yellow fields (recommended fixes),# Blue fields (observations/ may or may not need to be fixed),"# np fields (not in the metadata, and not marked by any color)",# fields checked (103 - #np fields),% red fields,% yellow fields,% blue fields
"Global Rural-Urban Mapping Project, Version 1 (GRUMPv1): Urban Extents Grid (G1400285150-SEDAC) - atg_grumpv1_urextent_ascii_30.zip",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,np,OK,OK,GET VISUALIZATION should be changed to GET RELATED VISUALIZATION to comply with GCMD and UMM URL types.,np,OK,OK,np,np,np,np,np,Recommend removing the URL in the Provider Browse URL element since it is a repeat of an Online Resource URL.,np,np,np,"Adam Sisco; 8/21/2017, 10:36 AM

Patrick Staton, 8/22/2017, 1:05 PM",,,,,,,,,
HANPP Collection: Global Patterns in Net Primary Productivity (NPP) (G1403336148-SEDAC) - npp-geotiff.zip,OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,np,"SEDAC inadvertently placed the DOI URL of an AGU publication here instead of the DOI URL to the data set landing page. Replace with:

https://dx.doi.org/10.7927/H40Z715X",OK,GET VISUALIZATION should be changed to GET RELATED VISUALIZATION to comply with GCMD and UMM URL types.,np,OK,OK,np,np,np,np,np,Recommend removing the URL in the Provider Browse URL element since it is a repeat of an Online Resource URL.,np,np,np,"Adam Sisco; 8/21/2017, 11:23 AM

Patrick Staton, 8/22/2017, 1:21 PM",,,,,,,,,
HANPP Collection: Human Appropriation of Net Primary Productivity as a Percentage of Net Primary Productivity (G1403338273-SEDAC) - hapctnpp-grid.zip,OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,np,OK,OK,GET VISUALIZATION should be changed to GET RELATED VISUALIZATION to comply with GCMD and UMM URL types.,np,OK,OK,np,np,np,np,np,Recommend removing the URL in the Provider Browse URL element since it is a repeat of an Online Resource URL.,np,np,np,"Adam Sisco; 8/21/2017, 11:34 AM

Patrick Staton, 8/22/2017, 1:23 PM",,,,,,,,,
Indicators of Coastal Water Quality: Ancillary Data (G1403341792-SEDAC) - centroids.zip,OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,np,OK,OK,OK,np,OK,OK,np,np,np,np,np,np,np,np,np,"Adam Sisco; 8/21/2017, 2:58 PM

Patrick Staton, 8/22/2017, 1:24 PM",,,,,,,,,
