South Bounding, West Bounding, North Bounding, East Bounding
-5.28,12.2495,-3.3973,14.3014
1.9516,13.7964,3.8336,15.8423
0.5046,13.4893,2.3871,15.5334
-0.9407,13.1813,0.941,15.2257
-2.387,12.8734,-0.5047,14.9184
-3.8335,12.5636,-1.9516,14.6119
-3.8335,12.5564,-1.9518,14.6044
-0.9409,8.5275,0.941,10.5715
-2.3866,8.2192,-0.5051,10.2644
-2.3865,14.3967,-0.505,16.4416
-3.8339,14.0874,-1.9518,16.1348
-5.2796,13.777,-3.3975,15.8287
-0.9406,8.5489,0.9409,10.5923
0.5048,13.4685,2.3869,15.5122
-2.387,12.853,-0.5051,14.8976
-3.8336,12.5437,-1.9516,14.5914
1.9519,13.7808,3.8338,15.8263
0.5048,13.4745,2.3868,15.5177
-0.9409,13.167,0.941,15.2108
-2.387,12.8588,-0.5051,14.9039
0.5051,11.9189,2.3868,13.9625
-0.941,11.6117,0.941,13.6553
-2.3864,11.304,-0.505,13.3485
-2.3868,14.3951,-0.5047,16.4398
-2.3868,9.7449,-0.5051,11.7899
1.9516,9.1289,3.8342,11.1747
0.5048,8.8218,2.3867,10.8658
-0.9411,8.5143,0.9412,10.5582
-2.3869,8.2063,-0.5051,10.2512
1.9512,12.2224,3.8338,14.2685
-0.941,11.6078,0.9409,13.6519
-2.3868,11.2998,-0.5047,13.3448
-2.3868,14.3977,-0.5051,16.4422
-3.8341,14.088,-1.9514,16.136
-5.2797,13.7778,-3.3972,15.8293
0.5046,10.4037,2.387,12.4482
-0.9408,10.0964,0.9411,12.1405
1.9516,13.7979,3.8341,15.8436
-0.9411,13.1835,0.9412,15.2274
-3.8341,12.5659,-1.9515,14.614
1.9516,9.1613,3.8339,11.2076
-0.9408,8.5471,0.941,10.5912
-2.3871,8.2388,-0.5049,10.2845
1.9514,12.2412,3.8341,14.2876
-0.9411,11.6267,0.9411,13.6709
-2.3868,11.3189,-0.5048,13.3642
-2.387,14.4002,-0.5048,16.4457
-3.8337,14.0913,-1.9515,16.139
1.9517,10.6714,3.834,12.7171
-2.387,9.7487,-0.505,11.7943
-3.8339,9.4397,-1.9513,11.4875
-2.3869,12.8351,-0.5047,14.8803
1.9517,9.1225,3.8341,11.1681
0.5049,8.8155,2.3867,10.8595
-0.9412,8.5081,0.9412,10.5521
-2.3869,14.3901,-0.5047,16.435
-3.8339,14.0807,-1.9515,16.1284
-3.8338,9.4605,-1.9516,11.5081
1.9515,12.2408,3.8342,14.2862
0.5049,11.934,2.3868,13.9776
-2.3866,11.319,-0.5047,13.3639
-5.2798,10.7002,-3.3973,12.7516
-0.9408,10.0831,0.941,12.1266
1.9516,9.1625,3.834,11.2081
0.5049,8.8558,2.387,10.8995
-0.9412,8.5489,0.9412,10.5925
-2.3869,8.2412,-0.505,10.286
-3.834,7.9319,-1.9517,9.9798
-3.8342,11.028,-1.9514,13.0753
-5.2796,10.7181,-3.3974,12.7695
1.9518,13.7916,3.8338,15.8369
0.5043,13.4841,2.387,15.5288
-0.9407,13.1776,0.9412,15.2209
-2.3871,12.8702,-0.5051,14.9147
-3.8337,12.5611,-1.9513,14.6088
-5.28,12.2513,-3.3976,14.3025
