South Bounding, West Bounding, North Bounding, East Bounding
0.51073,8.86565,2.37535,10.90633
-0.93374,8.55803,0.92966,10.59793
-2.38359,8.24862,-0.51924,10.28978
-0.93623,11.64926,0.92783,13.68896
-2.38146,11.34077,-0.51731,13.3819
1.95754,13.82413,3.82147,15.86647
0.51202,13.51667,2.37651,15.55719
-2.38261,12.89899,-0.51843,14.9409
-2.38438,8.27168,-0.5201,10.31343
-3.82761,14.13181,-1.9633,16.17634
-5.27646,13.82,-3.41225,15.8689
-2.38115,12.89345,-0.51714,14.9358
-0.93709,8.56415,0.92655,10.60574
-2.38239,8.25596,-0.51805,10.29854
-0.93453,13.20631,0.92913,15.24788
-2.38365,12.89681,-0.51978,14.94
-3.82825,12.58768,-1.96442,14.6331
-5.27319,12.27723,-3.4086,14.32671
-2.38199,8.26631,-0.51838,10.30968
-3.82704,7.95723,-1.9628,10.00271
-0.93679,11.66798,0.92709,13.70974
-2.38158,11.35935,-0.51766,13.40289
-2.38245,14.4478,-0.51865,16.49121
-3.82733,14.13851,-1.96316,16.18443
-5.27634,13.82701,-3.41191,15.87687
-0.93433,13.20653,0.92992,15.24835
-2.38309,12.89712,-0.51944,14.94046
-3.82791,12.58789,-1.96392,14.63362
-5.27684,12.27619,-3.41258,14.32638
-2.38276,14.44313,-0.51832,16.48594
-3.82734,14.13431,-1.96342,16.17918
-2.38157,9.80804,-0.51761,11.85019
-0.93601,13.20757,0.9276,15.24804
-2.38152,12.89927,-0.51723,14.94104
-5.2759,12.27836,-3.4111,14.32687
-0.93654,8.57679,0.92685,10.617
-0.93661,11.66044,0.92704,13.70015
1.95774,10.71915,3.82131,12.76149
0.51233,10.41221,2.37634,12.45277
1.95538,13.81092,3.81926,15.85328
0.51007,13.50388,2.37391,15.54457
-0.93478,13.19666,0.92867,15.23714
-2.38413,12.88753,-0.52049,14.92935
-3.82931,12.57825,-1.96527,14.62279
1.95749,9.18282,3.82212,11.22546
1.95617,12.27618,3.81944,14.31908
-2.38388,11.35314,-0.5201,13.39485
1.95837,10.72711,3.82252,12.76984
1.95561,13.81315,3.8191,15.85625
0.51082,13.50619,2.37415,15.54783
-0.93441,13.19843,0.92948,15.24038
-2.38341,12.88959,-0.52,14.93186
-3.82863,12.58022,-1.96448,14.62571
-2.38032,8.24995,-0.51673,10.29285
-2.38366,11.33926,-0.52015,13.3822
-2.38147,14.43094,-0.51799,16.4736
-3.82622,14.12195,-1.96278,16.16739
-0.93514,13.2049,0.92801,15.24608
-3.82932,12.58682,-1.96592,14.63193
-3.82696,7.96203,-1.96308,10.00773
1.9566,10.7234,3.8206,12.76739
1.95743,13.81134,3.82113,15.85405
0.51248,13.50431,2.37591,15.54568
-0.93711,13.19572,0.92666,15.23746
-2.38164,12.88768,-0.51855,14.93027
-3.82678,12.57888,-1.96296,14.62361
1.95589,9.17052,3.81985,11.2136
0.51093,8.86382,2.37446,10.90496
-0.93395,8.55615,0.92931,10.59762
-2.38356,8.24758,-0.51975,10.28993
0.50975,11.95269,2.37349,13.99386
-0.93523,11.64528,0.92805,13.68667
-2.38036,11.33754,-0.51672,13.37955
-2.38371,14.4264,-0.5199,16.46887
-3.82854,14.11766,-1.965,16.1622
-0.93419,10.09997,0.92913,12.14076
-2.38369,9.79119,-0.52004,11.83289
-3.82855,9.48221,-1.96516,11.5265
-5.27381,9.1722,-3.40957,11.22069
1.95863,13.80521,3.82218,15.84741
1.95648,9.17253,3.82031,11.21442
-0.93401,8.55838,0.92977,10.59834
-2.38328,8.24949,-0.51998,10.2907
-0.93765,11.64985,0.92633,13.6904
-2.38239,11.3421,-0.51925,13.38319
-5.27287,10.72315,-3.40882,12.77079
-2.38272,14.43462,-0.51959,16.47605
-3.82817,14.12593,-1.96428,16.16938
1.95725,13.81895,3.82078,15.86021
-0.93723,13.20415,0.92646,15.24408
-2.38208,12.89651,-0.51898,14.93743
1.95478,12.26552,3.81845,14.30687
0.50955,11.95899,2.37302,13.99849
-0.93558,11.65175,0.92759,13.69126
-3.83031,11.03418,-1.9669,13.07748
-5.27575,10.72392,-3.41154,12.77148
-2.3834,14.43171,-0.52014,16.47265
-3.8287,14.12329,-1.965,16.1663
1.95602,13.80557,3.81918,15.84648
0.51075,13.49856,2.37411,15.53857
-2.37992,12.88375,-0.51678,14.92466
-3.82987,12.57431,-1.96579,14.61755
1.95657,9.17046,3.81998,11.21176
-0.93382,8.55667,0.92909,10.59629
-2.38381,8.24788,-0.52003,10.28872
-3.82886,7.939,-1.96545,9.98251
1.95539,12.26072,3.81881,14.30178
-0.93531,11.64671,0.92786,13.68649
-2.3808,11.33874,-0.51719,13.37963
-2.38178,14.42921,-0.51858,16.47051
-3.82709,14.12051,-1.96338,16.16416
-5.27622,13.80983,-3.41275,15.85733
1.95804,10.71893,3.82094,12.76009
-2.38237,9.79634,-0.51897,11.8376
0.51096,13.50348,2.37444,15.54362
-0.93405,13.19666,0.92922,15.23669
-2.38329,12.88815,-0.52042,14.92885
-3.82876,12.57909,-1.96491,14.6231
1.95509,9.18011,3.81848,11.22173
1.95769,12.27314,3.82152,14.31518
0.50862,11.9659,2.37148,14.0059
-0.93672,11.65863,0.92666,13.69906
-2.3817,11.35106,-0.51857,13.39236
-2.38161,14.44388,-0.51848,16.48523
-3.82681,14.13531,-1.96335,16.17931
1.95883,10.72653,3.82219,12.76884
0.50974,10.41911,2.37268,12.45973
-2.38086,9.80406,-0.5174,11.84635
-3.82998,9.4946,-1.96693,11.53897
-5.27506,9.18529,-3.4113,11.23324
-2.38004,14.4364,-0.51705,16.47854
-3.82943,14.12721,-1.96606,16.17166
-5.27377,13.81723,-3.41084,15.86632
-5.27354,12.27828,-3.41027,14.3271
-0.9375,11.66409,0.92527,13.70474
-2.38226,11.35639,-0.51945,13.39887
-2.38033,14.44407,-0.51756,16.48677
-3.82981,14.13512,-1.9665,16.17958
-5.27449,13.82483,-3.41106,15.87407
-2.38404,9.80326,-0.52099,11.84534
-3.82879,9.49468,-1.96587,11.53974
1.95689,9.17775,3.82037,11.22105
0.51168,8.87207,2.37554,10.91305
-0.93706,8.56459,0.9253,10.6048
-2.38234,8.25703,-0.5191,10.29872
-3.82714,7.94855,-1.96406,9.9933
1.95463,12.2691,3.8181,14.31151
0.50972,11.96294,2.37262,14.00346
-0.93548,11.6562,0.92753,13.69675
-2.38042,11.34851,-0.51739,13.39021
-5.27492,10.72935,-3.4113,12.77814
1.95914,10.73364,3.82218,12.77572
-0.93567,10.11985,0.9274,12.16009
-2.38082,9.81205,-0.51779,11.85395
-3.83003,9.50246,-1.96716,11.54699
-3.82731,12.59673,-1.96428,14.64051
-5.27647,12.27436,-3.41304,14.32162
-5.27611,10.72077,-3.41279,12.76773
-2.3834,14.42689,-0.52036,16.46774
-3.82848,14.11886,-1.96562,16.16137
-5.27362,13.80898,-3.41018,15.85599
1.95672,13.80272,3.81978,15.84383
0.51099,13.49651,2.37441,15.53558
-0.93406,13.18918,0.92874,15.2286
-2.3838,12.88136,-0.52102,14.92089
-3.82887,12.57295,-1.96597,14.61578
-2.38114,8.25301,-0.518,10.29284
-5.27492,10.72757,-3.41123,12.77444
-2.38341,14.43974,-0.52039,16.47999
-3.82855,14.13133,-1.96561,16.1741
-2.37973,9.80579,-0.51729,11.84677
-3.82961,9.49668,-1.96621,11.5398
0.50881,13.50753,2.37169,15.5473
-0.93627,13.20087,0.92651,15.24029
-2.38117,12.89341,-0.51861,14.93423
1.95649,9.17539,3.81965,11.21698
0.51137,8.86915,2.37427,10.9089
-0.93385,8.56207,0.92893,10.60227
-2.38221,11.34275,-0.51908,13.38421
-2.38398,14.43197,-0.5208,16.47332
-3.82883,14.12334,-1.96594,16.16733
-5.274,13.81427,-3.41062,15.86155
-3.82886,9.48818,-1.96596,11.53243
-0.93645,13.19615,0.92613,15.23649
-2.38195,12.88872,-0.51866,14.93009
1.9565,9.17965,3.81997,11.22174
0.51195,8.87313,2.37448,10.91378
-0.93351,8.56655,0.92959,10.60695
-3.82735,9.50978,-1.96407,11.55415
-3.82934,12.59824,-1.96619,14.64278
-5.2741,12.28858,-3.41088,14.33741
-0.93692,11.66394,0.92581,13.70526
-2.38189,11.35678,-0.51914,13.39849
-5.27596,10.73832,-3.41303,12.78677
-0.93611,10.12027,0.92633,12.16119
-2.38142,9.81292,-0.51836,11.85502
-3.82638,9.50459,-1.96343,11.54926
-2.38262,12.90385,-0.51981,14.94582
-3.82762,12.59576,-1.9646,14.64015
-5.27658,12.28555,-3.41359,14.3339
1.95637,9.18752,3.81913,11.22972
0.51097,8.88113,2.37428,10.92215
-0.93365,8.57426,0.9287,10.61542
-2.38334,8.26618,-0.52022,10.308
-3.82809,7.95796,-1.96533,10.00247
-0.9353,11.65905,0.92719,13.70016
-2.38075,11.3522,-0.51763,13.39378
-3.82978,11.04261,-1.96696,13.08731
-5.275,10.73361,-3.41153,12.78158
-2.38073,12.9106,-0.51691,14.9538
-5.27497,12.28973,-3.41053,14.33894
0.50856,8.8882,2.37202,10.9297
-0.9369,8.58089,0.92733,10.6219
-2.38167,8.2718,-0.51784,10.31474
-3.82687,7.96303,-1.96253,10.00729
-0.93796,13.21915,0.92549,15.25998
-2.3834,12.91087,-0.51934,14.95284
-0.93754,8.57895,0.92606,10.61932
-2.38283,8.27066,-0.51883,10.31214
-2.38166,14.44923,-0.51798,16.49079
-3.82693,14.13971,-1.96272,16.18372
1.95466,13.82564,3.81904,15.86743
-2.38047,12.90223,-0.51688,14.94353
-2.38077,14.45056,-0.51714,16.49174
-3.83029,14.14042,-1.96615,16.18425
-5.27513,13.82985,-3.411,15.87783
-2.38131,12.87949,-0.5179,14.92136
-3.83084,12.56926,-1.96673,14.61418
-5.27531,12.25842,-3.41142,14.30764
1.95587,9.16868,3.81991,11.2112
-2.38189,14.42819,-0.51791,16.47064
-3.82651,14.11883,-1.96289,16.16404
-5.27594,13.80762,-3.41163,15.85649
0.51004,13.51196,2.37387,15.55364
-0.93482,13.20422,0.92871,15.24582
-2.38441,12.89536,-0.52037,14.93797
-3.82882,12.58614,-1.96544,14.63128
0.5121,11.95873,2.37573,14.00052
-3.82841,14.12196,-1.96438,16.16736
1.95436,9.18491,3.81873,11.22879
0.50997,8.87827,2.37313,10.91972
-2.38237,14.43405,-0.51869,16.47639
1.95482,10.71571,3.81882,12.75889
1.95773,13.8049,3.82161,15.84809
0.50841,13.49719,2.37208,15.53848
1.95691,9.16855,3.8207,11.21132
-0.93775,11.64498,0.92577,13.68587
-2.38309,11.33717,-0.5192,13.37902
-2.38071,14.43063,-0.517,16.47261
1.956,10.7309,3.81976,12.7729
0.51068,10.42384,2.37439,12.46449
1.95461,13.82332,3.81832,15.86568
0.50944,13.51647,2.37307,15.55723
-0.93576,13.2091,0.92789,15.24962
-2.38076,12.90113,-0.51734,14.94287
-3.8303,12.59123,-1.96635,14.63563
1.95762,9.1789,3.82115,11.22092
1.95444,10.71772,3.81824,12.75925
-3.82619,9.48654,-1.96284,11.53
-5.27601,9.17497,-3.4117,11.22309
1.95732,13.80853,3.82149,15.85025
0.5124,13.50193,2.37569,15.54166
-0.93748,13.19319,0.92621,15.23336
-2.38261,12.88554,-0.5191,14.9264
0.51171,8.87141,2.37551,10.91148
-0.93744,8.56383,0.92558,10.60294
-2.38292,8.25533,-0.51921,10.29657
1.95654,12.26711,3.82023,14.3086
-2.38354,11.34361,-0.51965,13.38514
-2.384,14.42202,-0.52032,16.46334
-3.82872,14.11318,-1.96543,16.15685
-0.93698,10.06833,0.92614,12.10845
-2.3827,9.76053,-0.51871,11.80171
-3.82749,9.45148,-1.96414,11.49548
1.95767,13.76377,3.82154,15.80573
0.5132,13.45769,2.37598,15.49714
-0.93688,13.14893,0.92707,15.18921
-2.38243,12.84071,-0.51836,14.88221
1.95597,9.10673,3.81957,11.14849
0.5105,8.79961,2.37428,10.83986
-0.93445,8.49255,0.92876,10.53266
-0.93488,11.5755,0.92818,13.61526
-2.38056,11.26731,-0.51667,13.30882
-3.82963,10.95754,-1.96633,13.00138
-5.27589,13.73074,-3.41172,15.77863
-2.38266,9.70028,-0.51942,11.74171
-3.82798,9.39161,-1.96416,11.43546
1.95509,13.70827,3.81809,15.7505
0.50971,13.40153,2.3733,15.44185
-0.93509,13.09451,0.92791,15.13439
-2.38054,12.78655,-0.51695,14.82811
-3.82986,12.47679,-1.9664,14.52086
1.95581,9.09944,3.82036,11.14231
-0.93411,8.48484,0.92986,10.52533
-2.38331,8.17536,-0.51951,10.21757
-3.82859,7.86578,-1.96431,9.91079
-0.93723,11.58683,0.92709,13.62754
-2.38159,11.27874,-0.51838,13.32053
-5.27578,10.65755,-3.41171,12.70657
-2.383,14.38206,-0.51899,16.42425
-3.82793,14.07271,-1.96394,16.11763
-5.27286,13.76229,-3.40843,15.81123
1.95508,10.70926,3.81936,12.75171
-0.93562,10.0937,0.9291,12.13553
-2.3846,9.78485,-0.52114,11.82662
-3.82899,9.47524,-1.96557,11.52021
1.95649,13.80347,3.82042,15.84669
0.51097,13.49636,2.37539,15.53755
-0.93781,13.18784,0.9255,15.22886
-2.38306,12.87989,-0.51904,14.92185
-5.2731,12.25967,-3.40839,14.30896
-2.3815,8.254,-0.51758,10.2967
-2.38345,9.79999,-0.51946,11.84215
-3.82817,9.49066,-1.96439,11.5357
-5.27294,9.18025,-3.40888,11.2291
-0.9352,13.20098,0.92865,15.24184
-2.38003,12.89219,-0.5165,14.93475
-3.82956,12.58272,-1.96523,14.62724
1.95826,9.18384,3.82194,11.2268
0.5088,8.87604,2.37266,10.91726
-0.93626,8.56815,0.92756,10.60979
-2.38127,8.25981,-0.51755,10.30237
-3.83071,7.95014,-1.96653,9.99452
1.95518,12.27094,3.81874,14.31436
0.50969,11.96454,2.37383,14.00543
-0.93502,11.65659,0.92844,13.69828
-2.38047,11.34792,-0.51631,13.39084
-3.8295,11.03847,-1.96573,13.08277
-5.27373,10.72791,-3.41014,12.77712
-2.38275,14.43739,-0.51896,16.47925
-3.82747,14.12751,-1.96347,16.17316
0.5083,10.42005,2.37224,12.46129
-0.93625,10.11261,0.92695,12.15364
1.95848,13.82247,3.82196,15.86479
0.50857,13.51356,2.37286,15.55572
-0.93597,13.20654,0.92714,15.24703
-2.38143,12.89799,-0.51744,14.94066
-3.83025,12.58806,-1.96678,14.63281
-5.2754,12.27816,-3.41098,14.32656
0.51028,8.87831,2.37432,10.91977
-0.93438,8.57086,0.92896,10.61197
-2.38406,8.26186,-0.5201,10.30405
-0.93675,11.66074,0.92709,13.70169
-5.27551,10.73189,-3.41174,12.78099
-2.38427,14.44378,-0.52075,16.48598
-3.82915,14.1345,-1.96531,16.17925
-5.274,13.8244,-3.41004,15.87323
-3.83017,9.50887,-1.96619,11.55306
0.50961,13.52646,2.37366,15.56782
-0.93499,13.21902,0.92821,15.26008
-2.38028,12.91107,-0.5165,14.95317
-3.82955,12.60086,-1.96555,14.64602
0.50934,8.88108,2.37341,10.92158
-0.9356,8.57283,0.92804,10.6145
1.95801,12.27479,3.82137,14.31768
0.50816,11.96694,2.37239,14.00795
-0.9368,11.65934,0.92679,13.70038
-2.38182,11.35141,-0.51814,13.39305
-2.38144,14.43614,-0.51765,16.47803
-3.82648,14.1271,-1.96262,16.17167
-5.27558,13.81583,-3.41165,15.86443
1.95672,13.80655,3.82053,15.84929
0.51114,13.50008,2.37529,15.54025
0.50858,11.95883,2.37195,13.99954
-2.38071,14.43729,-0.51718,16.47857
-3.83007,14.12723,-1.96641,16.17122
-5.27529,13.81734,-3.41097,15.8648
1.95661,10.72271,3.82029,12.76474
0.51152,10.41567,2.37495,12.45614
-2.38301,9.79905,-0.51985,11.84059
-3.82846,9.49028,-1.9644,11.53412
1.95751,12.25845,3.82136,14.30016
0.51236,11.95152,2.37579,13.99196
-0.93739,11.64333,0.9265,13.68319
-2.38226,11.33491,-0.51895,13.37672
